Abs,H,S,L,IndexHSL,Day,CPC
0.5121,0.771428571,0.107142857,0.939393939,0.786874955,0,0.2266
0.5121,0.685714286,0.178571429,0.909090909,0.707215678,0,0.2266
0.5121,0.8,0.178571429,0.909090909,0.818115364,0,0.2266
0.5121,0.771428571,0.142857143,0.939393939,0.777558912,0,0.2266
0.5121,0.828571429,0.178571429,0.878787879,0.828519533,0,0.2266
0.5121,0.8,0.178571429,0.878787879,0.797884569,0,0.2266
0.5121,0.828571429,0.178571429,0.878787879,0.846945153,0,0.2266
0.5121,0.8,0.178571429,0.878787879,0.797401887,0,0.2266
0.5121,0.714285714,0.178571429,0.878787879,0.727078183,0,0.2266
0.5121,0.771428571,0.178571429,0.96969697,0.785962602,0,0.2266
0.5121,0.742857143,0.214285714,0.909090909,0.758692462,0,0.2266
0.5121,0.771428571,0.178571429,0.878787879,0.787974242,0,0.2266
0.5121,0.714285714,0.178571429,0.848484848,0.734070098,0,0.2266
0.5121,0.857142857,0.214285714,0.787878788,0.869053664,0,0.2266
0.5121,0.828571429,0.214285714,0.818181818,0.84643178,0,0.2266
0.5121,0.8,0.214285714,0.818181818,0.811477788,0,0.2266
0.5121,0.8,0.178571429,0.818181818,0.809918139,0,0.2266
0.5121,0.771428571,0.178571429,0.848484848,0.767352838,0,0.2266
0.5121,0.828571429,0.178571429,0.787878788,0.822688288,0,0.2266
0.5121,0.771428571,0.25,0.848484848,0.778554967,0,0.2266
0.5121,0.771428571,0.214285714,0.878787879,0.786071415,0,0.2266
0.5121,0.828571429,0.142857143,0.818181818,0.827690883,0,0.2266
0.5121,0.828571429,0.142857143,0.787878788,0.833354724,0,0.2266
0.5121,0.742857143,0.107142857,0.96969697,0.751022561,0,0.2266
0.5121,0.742857143,0.142857143,0.878787879,0.739103383,0,0.2266
0.5121,0.714285714,0.142857143,0.939393939,0.735130324,0,0.2266
0.5121,0.771428571,0.107142857,0.848484848,0.786501085,0,0.2266
0.5121,0.828571429,0.107142857,0.909090909,0.830575815,0,0.2266
0.5121,0.828571429,0.071428571,0.787878788,0.84962362,0,0.2266
0.5121,0.771428571,0.071428571,0.848484848,0.784553617,0,0.2266
0.5121,0.771428571,0.142857143,0.939393939,0.790089115,0,0.2266
0.5121,0.8,0.142857143,0.878787879,0.811714944,0,0.2266
0.5121,0.742857143,0.178571429,0.939393939,0.754923078,0,0.2266
0.5121,0.714285714,0.142857143,0.96969697,0.727505064,0,0.2266
0.5121,0.742857143,0.142857143,0.878787879,0.741416351,0,0.2266
0.5121,0.685714286,0.142857143,0.909090909,0.701111006,0,0.2266
0.5121,0.685714286,0.142857143,0.96969697,0.695994018,0,0.2266
0.5121,0.657142857,0.071428571,0.939393939,0.667033096,0,0.2266
0.5121,0.771428571,0.142857143,0.818181818,0.780563817,0,0.2266
0.5121,0.771428571,0.107142857,0.878787879,0.781336667,0,0.2266
0.5121,0.8,0.071428571,0.757575758,0.813667993,0,0.2266
0.5121,0.771428571,0.142857143,0.848484848,0.789918921,0,0.2266
0.5121,0.8,0.214285714,0.909090909,0.820924964,0,0.2266
0.5121,0.742857143,0.178571429,0.878787879,0.762018225,0,0.2266
0.5121,0.714285714,0.178571429,0.909090909,0.72373847,0,0.2266
0.5121,0.771428571,0.214285714,0.939393939,0.784246709,0,0.2266
0.5121,0.771428571,0.178571429,0.909090909,0.769601634,0,0.2266
0.5121,0.771428571,0.178571429,0.939393939,0.78870245,0,0.2266
0.5121,0.828571429,0.178571429,0.878787879,0.825620651,0,0.2266
0.5121,0.885714286,0.178571429,0.96969697,0.884069819,0,0.2266
0.5121,0.714285714,0.142857143,0.909090909,0.722402027,0,0.2266
0.5121,0.714285714,0.178571429,0.909090909,0.7345472,0,0.2266
0.5121,0.771428571,0.107142857,0.848484848,0.766847835,0,0.2266
0.5121,0.714285714,0.142857143,0.878787879,0.735495823,0,0.2266
0.5121,0.8,0.142857143,0.848484848,0.801330305,0,0.2266
0.5121,0.742857143,0.178571429,0.848484848,0.750179959,0,0.2266
