C,M,Y,K,IndexCMYK,CPC
0.093023256,0,0.04,0.192307692,0.093018204,0.1728
0.093023256,0,0.04,0.076923077,0.093018159,0.1728
0.139534884,0,0.04,0.192307692,0.139527261,0.1728
0.139534884,0,0.04,0.153846154,0.139527261,0.1728
0.139534884,0,0.04,0.115384615,0.139527216,0.1728
0.023255814,0,0.04,0.038461538,0.023254528,0.1728
0.069767442,0,0.04,0.038461538,0.069763608,0.1728
0.093023256,0,0.04,0.038461538,0.093018114,0.1728
0.093023256,0,0.04,0.038461538,0.093018114,0.1728
0.069767442,0,0.04,0,0.069763563,0.1728
0.093023256,0,0.04,0.038461538,0.093018114,0.1728
0.069767442,0,0.04,0.076923077,0.069763608,0.1728
0.139534884,0,0.08,0.230769231,0.139529563,0.1728
0.139534884,0,0.04,0.192307692,0.139527284,0.1728
0.11627907,0,0.04,0.269230769,0.116272778,0.1728
0.162790698,0,0.04,0.307692308,0.16278188,0.1728
0.162790698,0,0.04,0.192307692,0.16278179,0.1728
0.093023256,0,0.04,0.192307692,0.093018204,0.1728
0.162790698,0,0.08,0.230769231,0.162784114,0.1728
0.093023256,0,0.08,0.192307692,0.093020484,0.1728
0.093023256,0,0.04,0.192307692,0.093018204,0.1728
0.093023256,0,0.04,0.192307692,0.093018227,0.1728
0.11627907,0,0.04,0.230769231,0.116272778,0.1728
0.162790698,0,0.04,0.307692308,0.162781857,0.1728
0.186046512,0,0.08,0.230769231,0.186038643,0.1728
0.139534884,0,0.08,0.230769231,0.139529563,0.1728
0.139534884,0,0.04,0.192307692,0.139527261,0.1728
0.139534884,0,0.04,0.192307692,0.139527261,0.1728
0.186046512,0,0.04,0.192307692,0.186036318,0.1728
0.11627907,0,0.08,0.230769231,0.116275035,0.1728
0.069767442,0,0.04,0.153846154,0.069763676,0.1728
0.11627907,0,0.04,0.230769231,0.116272755,0.1728
0.11627907,0,0.04,0.230769231,0.116272755,0.1728
0.11627907,0,0.08,0.230769231,0.116275035,0.1728
0.162790698,0,0.08,0.230769231,0.162784092,0.1728
0.11627907,0,0.04,0.230769231,0.116272755,0.1728
0.069767442,0,0.04,0.192307692,0.069763698,0.1728
0.093023256,0,0.04,0.076923077,0.093018159,0.1728
0.093023256,0,0.08,0.115384615,0.093020439,0.1728
0.069767442,0,0.04,0.038461538,0.069763608,0.1728
0.139534884,0,0.08,0.230769231,0.139529563,0.1728
